drug_id	drug_name	restrictions	drug_description	pathways	general_references
DB00257	Clotrimazole	approved,vet_approved	This drug is a broad spectrum antimycotic or antifungal agent. Clotrimazole's antimycotic properties were discovered in the late 1960s [A174094]. Clotrimazole falls under the _imidazole_ category of _azole_ antifungals, possessing broad-spectrum antimycotic activity [A174094].  It is available in various preparations, including creams, pessaries, and troche formulations (slowly dissolving tablets).  As well as its antifungal activity, clotrimazole has become a drug of interest in treating several other diseases such as sickle cell disease, malaria and some cancers [A174094].  The minimal side effect profile of this drug and its uncomplicated metabolic profile have led it to gain widespread acceptance for the treatment of mycotic outbreaks such as vaginal yeast infections as well as athlete's foot [A174097].		
DB00258	Calcium acetate	approved,investigational	The chemical compound calcium acetate is the calcium salt of acetic acid. It has been commonly referred to as the acetate of lime. The anhydrous form is very hygroscopic, therefore the monohydrate is the common form.		
DB00259	Sulfanilamide	approved	Sulfanilamide is a molecule containing the sulfonamide functional group attached to an aniline.		
DB00260	Cycloserine	approved	Antibiotic substance produced by Streptomyces garyphalus.		
DB00261	Anagrelide	approved	Anagrelide is a platelet-reducing agent used to lower dangerously elevated platelet levels (i.e. to treat thrombocythemia) in patients with myeloproliferative neoplasms.[L14153] It is an oral imidazoquinazoline that was first approved for use in the US in 1997.[A214274] It appears to carry a better response rate than other thrombocythemia treatments (e.g. [busulfan], [hydroxyurea]) and may be better tolerated.[A214274]		
DB00262	Carmustine	approved,investigational	A cell-cycle phase nonspecific alkylating antineoplastic agent. It is used in the treatment of brain tumors and various other malignant neoplasms. (From Martindale, The Extra Pharmacopoeia, 30th ed, p462) This substance may reasonably be anticipated to be a carcinogen according to the Fourth Annual Report on Carcinogens (NTP 85-002, 1985). (From Merck Index, 11th ed)		
DB00263	Sulfisoxazole	approved,vet_approved	A short-acting sulfonamide antibacterial with activity against a wide range of gram- negative and gram-positive organisms.		
DB00264	Metoprolol	approved,investigational	Metoprolol is a selective beta-1 blocker commonly employed as the succinate and tartrate derivatives depending if the formulation is designed to be of immediate release or extended release.[A175159, L5530] The possibility of the generation of these formulations comes from the lower systemic bioavailability of the succinate derivative.[T274] To this date, it is one of the preferred beta-blockers in general clinical guidelines and it is widely prescribed in the Netherlands, New Zealand, and the US.[A175162] Metoprolol was developed since 1969 by US Pharmaceutical Holdings I and FDA approved in 1978.[L5527]	Metoprolol Action Pathway	
DB00265	Crotamiton	approved	Crotamiton is a scabicidal and antipruritic agent available as a cream or lotion for topical use only. It is a colorless to slightly yellowish oil, having a faint amine-like odor. It is miscible with alcohol and with methanol.		
DB00266	Dicoumarol	approved	Dicoumarol is an oral anticoagulant agent that works by interfering with the metabolism of vitamin K. In addition to its clinical use, it is also used in biochemical experiments as an inhibitor of reductases.	Dicumarol Action Pathway,Dicoumarol Action Pathway	
DB00267	Cefmenoxime	approved	Cefmenoxime is a novel broad-spectrum and third-generation cephalosporin antibiotic that is typically used in the treatment of female gynecologic and obstetric infections. It is reported to exhibit high activity against a wide variety of gram-positive and gram-negative bacteria.		
DB00268	Ropinirole	approved,investigational	Ropinirole, also known as _ReQuip_, is a non-ergoline dopamine agonist used in Parkinson's disease and restless legs syndrome [FDA label], [A174547]. It is manufactured by GlaxoSmithKline Pharmaceuticals.   Ropinirole was initially approved in 1997 by the FDA [FDA label] for the management of Parkinson's disease. In 2005, it was the first drug approved in the US for the management of primary moderate to severe restless legs syndrome [A174547]. In 2008, the extended-release capsules of ropinirole were approved, allowing for less frequent dosing, therefore increased compliance, and offering a similar side effect profile and efficacy to previous formulations of ropinirole [A35711].		
DB00269	Chlorotrianisene	investigational,withdrawn	A powerful synthetic, non-steroidal estrogen. [PubChem]		
DB00270	Isradipine	approved,investigational	Isradipine belongs to the dihydropyridine (DHP) class of calcium channel blockers (CCBs), the most widely used class of CCBs. It is structurally related to felodipine, nifedipine, and nimodipine and is the most potent calcium-channel blocking agent of the DHP class. Isradipine binds to calcium channels with high affinity and specificity and inhibits calcium flux into cardiac and arterial smooth muscle cells. It exhibits greater selectivity towards arterial smooth muscle cells owing to alternative splicing of the alpha-1 subunit of the channel and increased prevalence of inactive channels in smooth muscle cells. Isradipine may be used to treat mild to moderate essential hypertension.	Isradipine Action Pathway	
DB00271	Diatrizoate	approved,vet_approved	A commonly used x-ray contrast medium.  As diatrizoate meglumine and as Diatrizoate sodium, it is used for gastrointestinal studies, angiography, and urography.		
DB00272	Betazole	approved	A histamine H2 agonist used clinically to test gastric secretory function.	Betazole Action Pathway	
DB00273	Topiramate	approved	Topiramate is a anti-epileptic drug used to manage seizures and prevent migraines.[A175249] It was initially approved by the FDA in 1996. In 2004, topiramate was approved for the prevention of migraine in adults.[A188309,L10544] Since 2012, the extended-release formulation has been approved in combination with [phentermine] for chronic weight management therapy in adults.[L10550] Characteristics that distinguish topiramate from other antiepileptic drugs are a monosaccharide chemical structure containing a sulfamate, and 40% of its mass accounted for by oxygen.[A175249] Interestingly, topiramate was discovered by chance when attempts were made to formulate a novel antidiabetic drug.[A188330]		
DB00274	Cefmetazole	approved,investigational	A semisynthetic cephamycin antibiotic with a broad spectrum of activity against both gram-positive and gram-negative microorganisms. It has a high rate of efficacy in many types of infection and to date no severe side effects have been noted.		
DB00275	Olmesartan	approved,investigational	Olmesartan belongs to the angiotensin II receptor blocker (ARB) family of drugs, which also includes [telmisartan], [candesartan], [losartan], [valsartan], and [irbesartan]. ARBs selectively bind to angiotensin receptor 1 (AT1) and prevent the protein angiotensin II from binding and exerting its hypertensive effects, which include vasoconstriction, stimulation and synthesis of aldosterone and ADH, cardiac stimulation, and renal reabsorption of sodium, among others. Overall, olmesartan's physiologic effects lead to reduced blood pressure, lower aldosterone levels, reduced cardiac activity, and increased excretion of sodium. Olmesartan also affects the renin-angiotensin aldosterone system (RAAS), which plays an important role in hemostasis and regulation of kidney, vascular, and cardiac functions. Pharmacological blockade of RAAS via  AT1 receptor blockade inhibits negative regulatory feedback within RAAS, which is a contributing factor to the pathogenesis and progression of cardiovascular disease, heart failure, and renal disease. In particular, heart failure is associated with chronic activation of RAAS, leading to inappropriate fluid retention, vasoconstriction, and ultimately a further decline in left ventricular function. ARBs have been shown to have a protective effect on the heart by improving cardiac function, reducing afterload, increasing cardiac output and preventing ventricular hypertrophy and remodelling.[A174154] By comparison, the angiotensin-converting enzyme inhibitor (ACEi) class of medications (which includes drugs such as [ramipril], [lisinopril], and [perindopril]) inhibit the conversion of angiotensin I to angiotensin II through inhibition of the ACE enzyme. However, this does not prevent the formation of all angiotensin II within the body. The angiotensin II receptor blocker (ARB) family of drugs unique in that it blocks all angiotensin II activity, regardless of where or how it was synthesized. Olmesartan is commonly used for the management of hypertension and Type 2 Diabetes-associated nephropathy, particularly in patients who are unable to tolerate ACE inhibitors. ARBs such as olmesartan have been shown in a number of large-scale clinical outcomes trials to improve cardiovascular outcomes including reducing risk of myocardial infarction, stroke, the progression of heart failure, and hospitalization.[A174124,A178153,A173869,A185324,A185327,A185333,A185342,A185345] Like other ARBs, olmesartan blockade of RAAS slows the progression of diabetic nephropathy due to its renoprotective effects.[A185906,A185909,A185912] Orally available olmesartan is produced as the prodrug olmesartan medoxomil which is rapidly converted _in vivo_ to the pharmacologically active olmesartan.[A175330] It was developed by Daiichi Sankyo Pharmaceuticals and approved in 2002.[A175345, L5560]	Olmesartan Action Pathway	
DB00276	Amsacrine	approved,investigational	Aminoacridine derivative that is a potent intercalating antineoplastic agent. It is effective in the treatment of acute leukemias and malignant lymphomas, but has poor activity in the treatment of solid tumors. It is frequently used in combination with other antineoplastic agents in chemotherapy protocols. It produces consistent but acceptable myelosuppression and cardiotoxic effects.		
DB00277	Theophylline	approved	A methylxanthine derivative from tea with diuretic, smooth muscle relaxant, bronchial dilation, cardiac and central nervous system stimulant activities. Mechanistically, theophylline acts as a phosphodiesterase inhibitor, adenosine receptor blocker, and histone deacetylase activator. Theophylline is marketed under several brand names such as Uniphyl and Theochron, and it is indicated mainly for asthma, bronchospasm, and COPD.	Caffeine Metabolism	
DB00278	Argatroban	approved,investigational	Argatroban is a direct, selective thrombin inhibitor. The American College of Cardiologists (ACC) recommend using bivalirudin or argatroban in patients who have had, or at risk for, heparin induced thrombocytopenia (HIT) and are undergoing percutaneous coronary intervention. Argatroban is a non-heparin anticoagulant shown to both normalize platelet count in patients with HIT and prevent the formation of thrombi. Parental anticoagulants must be stopped and a baseline activated partial thromboplastin time must be obtained prior to administering argatroban.	Argatroban Action Pathway	
DB00279	Liothyronine	approved,vet_approved	Liothyronine is a thyroidal hormone T3 which is normally produced by the thyroid gland in a ratio 4:1 when compared with T4: T3. Liothyronine is the active form of thyroxine which is composed in a basic chemical structure by a tyrosine with bound iodine.[T457] The exogenous liothyronine product was developed by King Pharmaceuticals and FDA approved in 1956.[L5578]	Thyroid Hormone Synthesis	
DB00280	Disopyramide	approved	A class I anti-arrhythmic agent (one that interferes directly with the depolarization of the cardiac membrane and thus serves as a membrane-stabilizing agent) with a depressant action on the heart similar to that of guanidine. It also possesses some anticholinergic and local anesthetic properties.	Disopyramide Action Pathway	
DB00281	Lidocaine	approved,vet_approved	Ever since its discovery and availability for sale and use in the late 1940s, lidocaine has become an exceptionally commonly used medication [T583]. In particular, lidocaine's principal mode of action in acting as a local anesthetic that numbs the sensations of tissues means the agent is indicated for facilitating local anesthesia for a large variety of surgical procedures [F4349, L5930, L5948]. It ultimately elicits its numbing activity by blocking sodium channels so that the neurons of local tissues that have the medication applied on are transiently incapable of signaling the brain regarding sensations [F4349, L5930, L5948]. In doing so, however, it can block or decrease muscle contractile, resulting in effects like vasodilation, hypotension, and irregular heart rate, among others [F4349, L5930, L5948]. As a result, lidocaine is also considered a class Ib anti-arrhythmic agent [L5930, L5948, F4468]. Nevertheless, lidocaine's local anesthetic action sees its use in many medical situations or circumstances that may benefit from its action, including the treatment of premature ejaculation [A177625].Regardless, lidocaine is currently available as a relatively non-expensive generic medication that is written for in millions of prescriptions internationally on a yearly basis. It is even included in the World Health Organization's List of Essential Medicines [L6055].	Lidocaine (Antiarrhythmic) Action Pathway,Lidocaine (Local Anaesthetic) Action Pathway,Lidocaine (Local Anaesthetic) Metabolism Pathway	
DB00282	Pamidronic acid	approved	Pamidronic acid is a second generation, nitrogen containing bisphosphonate similar to [neridronic acid] and [alendronic acid].[A203111] Pamidronic acid was first described in the literature in 1977.[A203267] The second generation bisphosphonates are less common as third generation bisphosphonates, such as [ibandronic acid], [zoledronic acid], [minodronic acid], and [risedronic acid] are becoming more popular.[A203111]Pamidronic acid was granted FDA approval on 31 October 1991.[L13835]	Pamidronate Action Pathway	
DB00283	Clemastine	approved,investigational	An ethanolamine-derivative, first generation histamine H1 antagonist used in hay fever, rhinitis, allergic skin conditions, and pruritus. It causes drowsiness.	Clemastine H1-Antihistamine Action	
DB00284	Acarbose	approved,investigational	An inhibitor of alpha glucosidase that retards the digestion and absorption of carbohydrates in the small intestine and hence reduces the increase in blood-glucose concentrations after a carbohydrate load. It is given orally to non-insulin dependent diabetes mellitus patients where diet modification or oral hypoglycemic agents do not control their condition. (From Martindale The Extra Pharmacopoeia, 31st ed)		
DB00285	Venlafaxine	approved	Venlafaxine (Effexor) is an antidepressant within the serotonin-norepinephrine reuptake inhibitor (SNRI) class of medications. It exerts its effects primarily by blocking the transporters involved in the reuptake of the neurotransmitters serotonin and norepinephrine, therefore leaving more active neurotransmitter in the synapse. Venlafaxine is officially approved for use in the management of major depressive disorder (MDD), generalized anxiety disorder (GAD), social anxiety disorder, and panic disorder. As of 2014, Canadian clinical practice guidelines recommend venlafaxine as a first-line option for treatment of generalized anxiety, social anxiety, panic disorder, major depressive disorder (MDD), and consider it a second-line option for management of obsessive-compulsive disorder (OCD) [A177226,A177235]. Venlafaxine is also used off-label for prophylaxis of migraine headaches [A177229], for reduction of vasomotor symptoms associated with menopause [A177238], and for management of neuropathic pain (although there is only minimal evidence of efficacy for this condition) [A177232].	Venlafaxine Metabolism Pathway	
DB00286	Conjugated estrogens	approved	The conjugated estrogens are noncrystalline mixtures of purified female sex hormones obtained either by its isolation from the urine of pregnant mares or by synthetic generation from vegetal material. Both of these products are later conjugated to natrium sulfate by ester bonds in order to make them more water soluble.[L5605, T475] The conjugated estrogen product contains a mix of estrogen from which about 50% is represented by estrone sulfate followed by 25% of equilin sulfate, 15% of 17-alpha-dehydroequilenin sulfate, 3% of equilenin sulfate, 5% of 17-alpha and 17-beta-dihydroequilenin sulfate, 2% of 17-alpha-estradiolsulfate and 3% of 17-beta-estradiolsulfate. It also presents a large number of unidentified molecules with weak estrogenic activity as well as non-human molecules when it is obtained from pregnant mares urine.[T475] The conjugated estrogen mixture was approved for marketing in US in 1942 based on the efficacy against certain conditions. However, until 1986 official clinical trials were performed and this product was determined to be effective for the treatment of osteoporosis.[T484] The currently approved product of conjugated estrogens was developed by Wyeth Ayerst and FDA approved in 2003.[L5608]		
DB00287	Travoprost	approved	Travoprost ophthalmic solution is a topical medication used for controlling the progression of glaucoma or ocular hypertension, by reducing intraocular pressure [FDA Label]. It is a synthetic prostaglandin F2alpha analog [FDA Label]. Having been a well-received therapeutic agent with demonstrated efficacy and safety, travoprost is currently approved by the US FDA as a first-line treatment for lowering intraocular pressure in patients with open-angle glaucoma or ocular hypotension [L5155]. Furthermore, this approval also solidifies the medication as the first and only prostaglandin analog approved by the FDA for first-line treatment of glaucoma patients that does not contain the preservative benzalkonium chloride [L5155]. Moreover, travoprost is also currently approved in the EU for the decrease of elevated intraocular pressure in paediatric patients aged 2 months to < 18 years with ocular hypertension or paediatric glaucoma [L5146, L5152].		
DB00288	Amcinonide	approved	Amcinonide is a corticosteroid.		
DB00289	Atomoxetine	approved	Atomoxetine is a selective norepinephrine (NE) reuptake inhibitor used for the treatment of attention deficit hyperactivity disorder (ADHD). Also known as the marketed product Strattera, atomoxetine is used with other treatment modalities (psychological, educational, cognitive behaviour therapy, etc) to improve developmentally inappropriate symptoms associated with ADHD including distractibility, short attention span, hyperactivity, emotional lability, and impulsivity. Although the underlying pathophysiology that causes ADHD remains unclear, evidence suggests that dysregulation in noradrenergic and dopaminergic pathways plays a critical role in suboptimal executive functioning within prefrontal regions of the brain, which are involved in attention and memory.[A178090] Atomoxetine has been shown to specifically increase NA and DA within the prefrontal cortex, but not in the nucleus accumbens (NA) or striatum.[A18262] This is beneficial in the treatment of ADHD as DA activation in the subcortical NA and striatum is associated with many stimulant-associated side effects and an increase in abuse potential, which is a limiting factor associated with the use of stimulant medications such as [DB00422], [DB01576], and [DB01255].[A18262] Use of non-stimulant medications such as atomoxetine is therefore thought to offer a clinical advantage over the use of traditional medications for the management of ADHD. More recently, positron emission tomography (PET) imaging studies in rhesus monkeys have shown that atomoxetine also binds to the serotonin transporter (SERT),[A178111] and blocks the N-methyl-d-aspartate (NMDA) receptor,[A18263] indicating a role for the glutamatergic system in the pathophysiology of ADHD. Long-acting formulations of psychostimulants (such as [DB00422], [DB01576], and [DB01255]) are typically considered the most effective and first-line treatment for ADHD in adults and children as recommended by CADDRA (Canadian ADHD Resource Alliance).[L6037] However, these stimulant medications are limited by dose-related side effects and concerns of abuse. Many contain a blackbox warning stating that CNS stimulants, including methylphenidate-containing products and amphetamines, have a high potential for abuse and dependence. In particular, increased dopamine in key areas caused by these stimulant medications is associated with their reinforcing and addictive properties, and even amplifies the potency and reinforcing effects of other drugs of abuse such as amphetamines, making ADHD sufferers more susceptible to their addictive effects.[A177556] Concerns about abuse potential have spurred research into medications with fewer effects on DA and the use of non-stimulant ADHD medications including atomoxetine, [DB00745] and [DB01018]. The non-stimulant norepinephrine/dopamine reuptake inhibitor [DB01156] (commonly used for the treatment of depression and for smoking cessation) has also been shown to be effective in the treatment of ADHD.[A178099]		
DB00290	Bleomycin	approved,investigational	A complex of related glycopeptide antibiotics from <i>Streptomyces verticillus</i> consisting of bleomycin A2 and B2 (B2 CAS # 9060-10-0). It inhibits DNA metabolism and is used as an antineoplastic, especially for solid tumors. Bleomycin A2 is used as the representative structure for Bleomycin.		
DB00291	Chlorambucil	approved	A nitrogen mustard alkylating agent used as antineoplastic agent for the treatment of various malignant and nonmalignant diseases. Although it is less toxic than most other nitrogen mustards, it has been listed as a known carcinogen in the Fourth Annual Report on Carcinogens (NTP 85-002, 1985). (Merck Index, 11th ed)		
DB00292	Etomidate	approved	Imidazole derivative anesthetic and hypnotic with little effect on blood gases, ventilation, or the cardiovascular system. It has been proposed as an induction anesthetic.		
DB00293	Raltitrexed	approved,investigational	Raltitrexed (brand name Tomudex&reg;) is a chemotherapy drug manufactured AstraZeneca Company, is an antimetabolite used in chemotherapy. It is an inhibitor of thymidylate synthase.		
DB00294	Etonogestrel	approved,investigational	Etonogestrel molecule is a 3-ketodesogestrel or 19-nortestosterone which is a synthetic biologically active metabolite of progestin desogestrel.[A37184] The first product including etonogestrel was developed by the Merck subsidiary Organon and FDA approved in 2001.[L5692]		
DB00295	Morphine	approved,investigational	Morphine, the main alkaloid of opium, was first obtained from poppy seeds in 1805.[A176035] It is a potent analgesic, though its use is limited due to tolerance, withdrawal, and the risk of abuse.[A176050] Morphine is still routinely used today, though there are a number of semi-synthetic opioids of varying strength such as [codeine], [fentanyl], [methadone], [hydrocodone], [hydromorphone], [meperidine], and [oxycodone].Morphine was granted FDA approval in 1941.[L12114]	Morphine Action Pathway,Codeine Action Pathway,Heroin Metabolism Pathway,Heroin Action Pathway,Codeine Metabolism Pathway,Morphine Metabolism Pathway	
DB00296	Ropivacaine	approved	Ropivacaine is an aminoamide local anaesthetic drug commonly marketed by AstraZeneca under the trade name Naropin. It is present as a racemic mixture of the enantiomers containing equal proportions of the “S” and “R” forms. The marketed form contains the single S-enantiomer as the active ingredient.	Ropivacaine Action Pathway	
DB00297	Bupivacaine	approved,investigational	Bupivacaine is a widely used local anesthetic agent.	Bupivacaine Action Pathway	
DB00298	Dapiprazole	approved	Dapiprazole (U.S. trade name Rev-Eyes) is an alpha blocker. It is found in ophthalmic solutions used to reverse mydriasis after an eye examination.		
DB00299	Penciclovir	approved	Penciclovir is a synthetic acyclic guanine derivative with antiviral activity used for the treatment of various herpes simplex virus (HSV) infections. Displaying low toxicity and good selectivity, penciclovir is a nucleoside analogue.		
DB00300	Tenofovir disoproxil	approved,investigational	Tenofovir disoproxil fumarate (a prodrug of tenofovir), marketed by Gilead Sciences under the trade name _Viread_, belongs to a class of antiretroviral drugs known as nucleotide analogue reverse transcriptase inhibitors (nRTIs).  This drug is prescribed in combination with other drugs for the management of HIV infection as well as for Hepatitis B therapy. Tenofovir disoproxil was initially approved in 2001 [FDA label].	Tenofovir Metabolism Pathway	
DB00301	Flucloxacillin	approved,investigational	Antibiotic analog of [cloxacillin].		
DB00302	Tranexamic acid	approved	Antifibrinolytic hemostatic used in severe hemorrhage.	Tranexamic Acid Action Pathway	
DB00303	Ertapenem	approved,investigational	Ertapenem is a carbapenem antibiotic drug that is marketed under the trade name Invanz by Merck & Co. pharmaceutical company.  It is structurally similar to [meropenem] and possesses a 1-beta-methyl group.		
DB00304	Desogestrel	approved	Desogestrel, a prodrug, is a third generation progestogen[A176315] and hence, a member of the gonane family which was largely used in Europe before being approved in the US and Canada.[A176339] It was firstly generated from a study that showed that 11-beta and 11-alkylidene substituent in nortestosterone can enhance the biological activity.[T521] Desogestrel is now produced semi-synthetically from naturally occurred plant steroids.[F4127] In the US, desogestrel is found only in combination with [ethinyl estradiol].[A176342] The first approved drug containing desogestrel was developed by Organon USA Inc in 1972 and FDA approved in 1992.[L5762]		
DB00305	Mitomycin	approved	Mitomycin is an antineoplastic antibiotic first isolated by Japanese microbiologists in the 1950s from cultures of _Streptomyces caespitosus_.[L12867,A193419] It is an alkylating agent that inhibits DNA synthesis (and, at higher concentrations, RNA and protein synthesis) by cross-linking the complementary strands of the DNA double helix.[A193419] Few other antibiotics have been discovered that work via this alkylating mechanism, making mitomycin relatively unique in the space of microbiota-derived therapies.[A193419]Mitomycin's cross-linking activity has resulted in its approval for the treatment of a variety of cancers - the most recent of which is an April 2020 approval for its use in low-grade Upper Tract Urothelial Cancer (LG-UTUC)[L12867] - as well as adjunctly to _ab externo_ glaucoma surgeries.		
DB00306	Talbutal	approved,illicit	Talbutal, also called 5-allyl-5-sec-butylbarbituric acid, is a barbiturate with a short to intermediate duration of action. Talbutal is a schedule III drug in the U.S.		
DB00307	Bexarotene	approved,investigational	Bexarotene (Targretin) is an antineoplastic agent indicated by the FDA for Cutaneous T cell lymphoma. It has been used off-label for lung cancer, breast cancer, and Kaposi's sarcoma.		
DB00308	Ibutilide	approved	Ibutilide is a Class III antiarrhythmic agent available in intravenous formulations. It is indicated for the conversion of acute atrial flutter and recent onset atrial fibrillation to normal sinus rhythm (NSR).	Ibutilide Action Pathway	
DB00309	Vindesine	approved,investigational	Vinblastine derivative with antineoplastic activity against cancer. Major side effects are myelosuppression and neurotoxicity. Vindesine is used extensively in chemotherapy protocols (antineoplastic combined chemotherapy protocols).	Vindesine Action Pathway	
DB00310	Chlorthalidone	approved	Chlorthalidone is a thiazide-like diuretic used for the treatment of hypertension and for management of edema caused by conditions such as heart failure or renal impairment. Chlorthalidone improves blood pressure and swelling by preventing water absorption from the kidneys through inhibition of the Na+/Cl− symporter in the distal convoluted tubule cells in the kidney. The exact mechanism of chlorthalidone's anti-hypertensive effect is under debate, however, it is thought that increased diuresis results in decreased plasma and extracellular fluid volume, decreased cardiac output and therefore overall reduction in blood pressure.[A176324]Chlorthalidone is considered first-line therapy for management of uncomplicated hypertension as there is strong evidence from meta-analyses that thiazide diuretics such as chlorthalidone reduce the risk of stroke, myocardial infarction, heart failure, and cardiovascular all-cause mortality in patients with hypertension.[A173863] In particular, the ALLHAT trial confirmed the role of thiazide diuretics as first-line therapy and demonstrated that chlorthalidone had a statistically significant lower incidence of stroke and heart failure when compared to [DB00722], [DB00381], or [DB00590].[A173884, A173887] Further studies have indicated that low-dose thiazides are as good as, and in some secondary endpoints, better than β-blockers, ACE inhibitors, Calcium Channel Blockers or ARBs.Chlorthalidone has been shown to have a number of pleiotropic effects that differentiate it from other diuretics such as [DB00999]. In addition to its antihypertensive effects, chlorthalidone has also been shown to decrease platelet aggregation and vascular permeability, as well as promote angiogenesis in vitro, which is thought to be partly the result of reductions in carbonic anhydrase–dependent pathways. These pathways may play a role in chlorthalidone's cardiovascular risk reduction effects.[A176330]	Chlorthalidone Action Pathway	
DB00311	Ethoxzolamide	withdrawn	Ethoxzolamide is a sulfonamide used as diuretic and in glaucoma. It inhibits carbonic anhydrase activity in proximal renal tubules to decrease reabsorption of water, sodium, potassium, bicarbonate. Its pharmacological activity thus confers the risk for hypokalemia.		
DB00312	Pentobarbital	approved,investigational,vet_approved	A short-acting barbiturate that is effective as a sedative and hypnotic (but not as an anti-anxiety) agent and is usually given orally. It is prescribed more frequently for sleep induction than for sedation but, like similar agents, may lose its effectiveness by the second week of continued administration. (From AMA Drug Evaluations Annual, 1994, p236)		
DB00313	Valproic acid	approved,investigational	Valproic acid, or valproate, is an fatty acid derivative and anticonvulsant originally synthesized in 1881 by Beverly S. Burton.[A178051] It enjoyed use as a popular organic solvent in industry and pharmaceutical manufacturing for nearly a century. In 1963, a serendipitous discovery was made by George Carraz during his investigations into the anticonvulsant effects of khelline when he found that all of his samples, dissolved in valproic acid, exerted a similar degree of anticonvulsive activity. It first received approval on February 28, 1978 from the FDA under the trade name Depakene.[L6190]Since then, it has been investigated for neuroprotective, anti-manic, and anti-migraine effects. It is currently a compound of interest in the field of oncology for its anti-proliferative effects and is the subject of many clinical trials in a variety of cancer types.	Valproic Acid Metabolism Pathway	
DB00314	Capreomycin	approved	Cyclic peptide antibiotic similar to viomycin. It is produced by Streptomyces capreolus.		
DB00315	Zolmitriptan	approved,investigational	Zolmitriptan is a member of the triptan class of 5-hydroxytryptamine(5-HT)<sub>1B/1D/(1F)</sub> receptor agonists used to treat acute migraine.[A462, L12978] [Sumatriptan] was the first triptan to be developed, but had poor oral bioavailability and lipophilicity. This led to the development of second-generation triptans, including [almotriptan], [eletriptan], [frovatriptan], [naratriptan], [rizatriptan], and zolmitriptan.[A193791] Triptans can be administered alone or in combination with an NSAID like [naproxen], and represent the current "gold standard" for acute migraine treatment.[A193797]Zolmitriptan was first approved by the FDA for sale by Zeneca Pharmaceuticals under the trade name Zomig® on November 25, 1997. It is currently available in both tablet and nasal spray forms.[L12978]		
DB00316	Acetaminophen	approved	Acetaminophen (paracetamol), also commonly known as _Tylenol_, is the most commonly taken analgesic worldwide and is recommended as first-line therapy in pain conditions by the World Health Organization (WHO).[A176318] It is also used for its antipyretic effects, helping to reduce fever.[F4124] This drug was initially approved by the U.S. FDA in 1951 and is available in a variety of forms including syrup form, regular tablets, effervescent tablets, injection, suppository, and other forms.[L5756,L5774,F4124,Label]Acetaminophen is often found combined with other drugs in more than 600 over the counter (OTC) allergy medications, cold medications, sleep medications, pain relievers, and other products.[L5783] Confusion about dosing of this drug may be caused by the availability of different formulas, strengths, and dosage instructions for children of different ages.[L5783] Due to the possibility of fatal overdose and liver failure associated with the incorrect use of acetaminophen, it is important to follow current and available national and manufacturer dosing guidelines while this drug is taken or prescribed.[L5786,L5789,Label]	Acetaminophen Metabolism Pathway,Acetaminophen  Action Pathway	
DB00317	Gefitinib	approved,investigational	Gefitinib (originally coded ZD1839) is a drug used in the treatment of certain types of cancer. Acting in a similar manner to erlotinib (marketed as Tarceva), gefitinib selectively targets the mutant proteins in malignant cells. It is marketed by AstraZeneca under the trade name Iressa.	Gefitinib Action Pathway	
DB00318	Codeine	approved,illicit	The relief of pain (analgesia) is a primary goal for enhancing the quality of life of patients and for increasing the ability of patients to engage in day to day activities. Codeine, an opioid analgesic, was originally approved in the US in 1950 and is a drug used to decrease pain by increasing the threshold for pain without impairing consciousness or altering other sensory functions. Opiates such as codeine are derived from the poppy plant, _Papaver somniferum_ (Papaveraceae).[A175096]Codeine is utilized as a central analgesic, sedative, hypnotic, antinociceptive, and antiperistaltic agent, and is also recommended in certain diseases with incessant coughing.[LABEL,A175096]	Codeine Metabolism Pathway,Codeine Action Pathway	
DB00319	Piperacillin	approved	Semisynthetic, broad-spectrum, ampicillin derived ureidopenicillin antibiotic proposed for pseudomonas infections. It is also used in combination with other antibiotics.		
DB00320	Dihydroergotamine	approved,investigational	A 9,10alpha-dihydro derivative of ergotamine. It is used as a vasoconstrictor, specifically for the therapy of migraine disorders.		
DB00321	Amitriptyline	approved	Amitriptyline hydrochloride, also known as _Elavil_,  is a tricyclic antidepressant (TCA) with analgesic properties, widely used to treat depression and neuropathic pain [A174658].  It was originally approved by the FDA in 1977 and manufactured by Sandoz [L5308].		
DB00322	Floxuridine	approved	An antineoplastic antimetabolite that is metabolized to fluorouracil when administered by rapid injection. Floxuridine is available as a sterile, nonpyrogenic, lyophilized powder for reconstitution. When administered by slow, continuous, intra-arterial infusion, it is converted to floxuridine monophosphate. It has been used to treat hepatic metastases of gastrointestinal adenocarcinomas and for palliation in malignant neoplasms of the liver and gastrointestinal tract.		
DB00323	Tolcapone	approved,withdrawn	Tolcapone is a drug that inhibits the enzyme catechol-O-methyl transferase (COMT). It is used in the treatment of Parkinson's disease as an adjunct to levodopa/carbidopa medication. It is a yellow, odorless, non-hygroscopic, crystalline compound. Tolcapone is associated with a risk of hepatotoxicity.		
DB00324	Fluorometholone	approved,investigational	A glucocorticoid employed, usually as eye drops, in the treatment of allergic and inflammatory conditions of the eye. It has also been used topically in the treatment of various skin disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p732)		
DB00325	Nitroprusside	approved,investigational	Nitroprusside serves as a source of nitric oxide, a potent peripheral vasodilator that affects both arterioles and venules (venules more than arterioles). Nitroprusside is often administered intravenously to patients who are experiencing a hypertensive emergency.		
